Team,Att,Cmp,CmpPct,Yds/Att,Yds,TD,INT,1st,1stPct,Sck,Rush,YPC,RushPct,RushPct2,FR,SFTY,3rd,3rdPct,4th,4thPct,Scrm,FF,FRPct,INTPct,INTPct2,Lng
Dolphins,,,,,,,,,,,97.0,,21.4,,,,201.0,70.0,15.0,6.0,957.0,,,,,
49ers,,,,,,,,,,,89.0,,22.9,,,,210.0,78.0,19.0,11.0,988.0,,,,,
Seahawks,,,,,,,,,,,91.0,,21.3,,,,223.0,92.0,11.0,6.0,1028.0,,,,,
Browns,,,,,,,,,,,112.0,,22.7,,,,235.0,88.0,23.0,8.0,1089.0,,,,,
Vikings,,,,,,,,,,,127.0,,26.6,,,,204.0,82.0,10.0,6.0,985.0,,,,,
Raiders,,,,,,,,,,,104.0,,24.0,,,,210.0,67.0,20.0,9.0,1002.0,,,,,
Colts,,,,,,,,,,,108.0,,23.7,,,,207.0,90.0,15.0,7.0,1004.0,,,,,
Jets,,,,,,,,,,,116.0,,24.1,,,,227.0,101.0,18.0,9.0,1030.0,,,,,
Jaguars,,,,,,,,,,,89.0,,19.0,,,,227.0,87.0,18.0,5.0,1056.0,,,,,
Packers,,,,,,,,,,,83.0,,20.4,,,,238.0,93.0,22.0,9.0,1041.0,,,,,
Cardinals,,,,,,,,,,,124.0,,25.0,,,,220.0,84.0,24.0,12.0,1071.0,,,,,
Chiefs,,,,,,,,,,,111.0,,23.1,,,,218.0,86.0,8.0,5.0,1003.0,,,,,
Rams,,,,,,,,,,,77.0,,21.0,,,,209.0,69.0,23.0,11.0,952.0,,,,,
Eagles,,,,,,,,,,,,,,,0.0,,,,,,,28.0,0.0,,,
Bears,,,,,,,,,,,,,,,0.0,,,,,,,24.0,0.0,,,
Seahawks,,,,,,,,,,,,,,,0.0,,,,,,,24.0,0.0,,,
Jets,,,,,,,,,,,,,,,0.0,,,,,,,21.0,0.0,,,
Browns,,,,,,,,,,,,,,,0.0,,,,,,,20.0,0.0,,,
Packers,,,,,,,,,,,,,,,0.0,,,,,,,20.0,0.0,,,
Saints,,,,,,,,,,,,,,,0.0,,,,,,,20.0,0.0,,,
49ers,,,,,,,,,,,,,,,0.0,,,,,,,20.0,0.0,,,
Ravens,,,,,,,,,,,,,,,0.0,,,,,,,19.0,0.0,,,
Dolphins,,,,,,,,,,,,,,,0.0,,,,,,,19.0,0.0,,,
Steelers,,,,,,,,,,,,,,,0.0,,,,,,,19.0,0.0,,,
Redskins,,,,,,,,,,,,,,,0.0,,,,,,,19.0,0.0,,,
Bills,,,,,,,,,,,,,,,0.0,,,,,,,17.0,0.0,,,
