Team,Att,Cmp,CmpPct,Yds/Att,Yds,TD,INT,1st,1stPct,Sck,Rush,YPC,RushPct,RushPct2,FR,SFTY,3rd,3rdPct,4th,4thPct,Scrm,FF,FRPct,INTPct,INTPct2
49ers,435.0,333.0,61.5,6.5,3583.0,22.0,11.0,185.0,34.0,37.0,1794.0,4.1,110.0,25.3,0.0,0.0,212.0,82.0,16.0,8.0,1015.0,15.0,0.0,1.0,196.0
Packers,417.0,333.0,61.5,6.5,3583.0,7.0,11.0,185.0,34.0,37.0,1618.0,3.9,84.0,20.1,0.0,0.0,212.0,82.0,16.0,8.0,1015.0,15.0,0.0,1.0,196.0
Seahawks,503.0,333.0,61.5,6.5,3583.0,20.0,11.0,185.0,34.0,37.0,2454.0,4.9,126.0,25.0,0.0,0.0,212.0,82.0,16.0,8.0,1015.0,15.0,0.0,1.0,196.0
Eagles,453.0,333.0,61.5,6.5,3583.0,10.0,11.0,185.0,34.0,37.0,1830.0,4.0,105.0,23.2,0.0,0.0,212.0,82.0,16.0,8.0,1015.0,15.0,0.0,1.0,196.0
Chiefs,441.0,333.0,61.5,6.5,3583.0,13.0,11.0,185.0,34.0,37.0,1809.0,4.1,103.0,23.4,0.0,0.0,212.0,82.0,16.0,8.0,1015.0,15.0,0.0,1.0,196.0
Rams,383.0,333.0,61.5,6.5,3583.0,18.0,11.0,185.0,34.0,37.0,1697.0,4.4,95.0,24.8,0.0,0.0,212.0,82.0,16.0,8.0,1015.0,15.0,0.0,1.0,196.0
Panthers,426.0,333.0,61.5,6.5,3583.0,12.0,11.0,185.0,34.0,37.0,1944.0,4.6,107.0,25.1,0.0,0.0,212.0,82.0,16.0,8.0,1015.0,15.0,0.0,1.0,196.0
Chargers,470.0,333.0,61.5,6.5,3583.0,10.0,11.0,185.0,34.0,37.0,1422.0,3.0,76.0,16.2,0.0,0.0,212.0,82.0,16.0,8.0,1015.0,15.0,0.0,1.0,196.0
Falcons,453.0,333.0,61.5,6.5,3583.0,16.0,11.0,185.0,34.0,37.0,1983.0,4.4,113.0,24.9,0.0,0.0,212.0,82.0,16.0,8.0,1015.0,15.0,0.0,1.0,196.0
Cardinals,578.0,333.0,61.5,6.5,3583.0,29.0,11.0,185.0,34.0,37.0,2609.0,4.5,149.0,25.8,0.0,0.0,212.0,82.0,16.0,8.0,1015.0,15.0,0.0,1.0,196.0
