Team,Att,Cmp,CmpPct,Yds/Att,Pass,TD,INT,Rate,1st,1stPct,20+,40+,Sck,SckY,Rush,YPC,RushPct,RushPct2,RushPct3,Rec,Yds,Yds/Rec,RecPct1,RecPct2,RecPct3,Rsh,Tot,2-PT,3rd,3rdPct,4th,4thPct,Scrm
Titans,547.0,334.0,61.45,7.0,3792.5,14.0,15.0,84.75,184.0,33.9,9.0,0.0,36.0,237.5,2084.0,3.8,107.0,19.6,12.0,184.0,3792.5,11.4,81.8,55.2,4.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Steelers,527.0,334.0,61.45,7.0,3792.5,19.0,15.0,84.75,184.0,33.9,16.0,1.0,36.0,237.5,2248.0,4.3,124.0,23.5,9.0,184.0,3792.5,11.4,81.8,55.2,4.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Raiders,520.0,334.0,61.45,7.0,3792.5,23.0,15.0,84.75,184.0,33.9,20.0,4.0,36.0,237.5,2470.0,4.8,128.0,24.6,8.0,184.0,3792.5,11.4,81.8,55.2,4.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Broncos,516.0,334.0,61.45,7.0,3792.5,21.0,15.0,84.75,184.0,33.9,17.0,3.0,36.0,237.5,2311.0,4.5,124.0,24.0,9.0,184.0,3792.5,11.4,81.8,55.2,4.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Ravens,511.0,334.0,61.45,7.0,3792.5,9.0,15.0,84.75,184.0,33.9,11.0,1.0,36.0,237.5,2199.0,4.3,116.0,22.7,8.0,184.0,3792.5,11.4,81.8,55.2,4.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Giants,507.0,334.0,61.45,7.0,3792.5,16.0,15.0,84.75,184.0,33.9,13.0,3.0,36.0,237.5,2009.0,4.0,100.0,19.7,8.0,184.0,3792.5,11.4,81.8,55.2,4.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Saints,505.0,334.0,61.45,7.0,3792.5,14.0,15.0,84.75,184.0,33.9,7.0,2.0,36.0,237.5,2068.0,4.1,117.0,23.2,13.0,184.0,3792.5,11.4,81.8,55.2,4.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Dolphins,496.0,334.0,61.45,7.0,3792.5,16.0,15.0,84.75,184.0,33.9,10.0,2.0,36.0,237.5,1894.0,3.8,104.0,21.0,8.0,184.0,3792.5,11.4,81.8,55.2,4.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Bengals,495.0,334.0,61.45,7.0,3792.5,13.0,15.0,84.75,184.0,33.9,19.0,6.0,36.0,237.5,2314.0,4.7,119.0,24.0,12.0,184.0,3792.5,11.4,81.8,55.2,4.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Buccaneers,490.0,334.0,61.45,7.0,3792.5,18.0,15.0,84.75,184.0,33.9,12.0,2.0,36.0,237.5,2066.0,4.2,111.0,22.6,6.0,184.0,3792.5,11.4,81.8,55.2,4.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
